PartnerName,Id,Title,Description,Brand,Link,ImageLink,CategoryName,Mrp,OfferPrice,EffectivePrice,Availability,PartnerIdFromUrl,PartnerIdFromDb
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Combo-BM2|VNP133 117 ml(Multicolor),Susha Forsure Brings you perfect combo of bright sparks nail polish collection.Susha Forsure color show bright sparks collection presents eye-catching nail shades inspired by colors trending now Shades have been chosen by India’s most loved beauty bloggers.Has a flat-brush for smooth application.Give Your Nails A Fabulous Look By Applying These Nailpaints From Susha forsure. Stop worrying about your color chipping as this amazing nail color is chip-resistant. You need not worry about the color smudging as this nail color dries quickly within few seconds of its application.Bid Goodbye To Expensive Salon Manicures And Pedicures And Pamper Yourself At Home And Give Your Nails A Complete Look By Painting Them With These Beautiful Shades. You will look Great with This Susha Forsure Products.Directions for UseStart applying this nail color with the brush from the base and gently sweep towards the tip of your nail.Let it dry for few seconds.Then apply second coat for a neat finish.,Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-combo-bm2-vnp133-117-ml/p/itmemd9gsuhh6jef?pid=NLPEMD9G83QH9AAR&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/a/a/r/susha-forsure-117-premium-glam-shine-waterproof-nail-polish-200x200-imaehq38tbg4kmgv.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,927.0,1031.0,true,NLPEMD9G83QH9AAR,NLPEMD9G83QH9AAR
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Combo-BM2|VNP106 117 ml(Multicolor),Susha Forsure Brings you perfect combo of bright sparks nail polish collection.Susha Forsure color show bright sparks collection presents eye-catching nail shades inspired by colors trending now Shades have been chosen by India’s most loved beauty bloggers.Has a flat-brush for smooth application.Give Your Nails A Fabulous Look By Applying These Nailpaints From Susha forsure. Stop worrying about your color chipping as this amazing nail color is chip-resistant. You need not worry about the color smudging as this nail color dries quickly within few seconds of its application.Bid Goodbye To Expensive Salon Manicures And Pedicures And Pamper Yourself At Home And Give Your Nails A Complete Look By Painting Them With These Beautiful Shades. You will look Great with This Susha Forsure Products.Directions for UseStart applying this nail color with the brush from the base and gently sweep towards the tip of your nail.Let it dry for few seconds.Then apply second coat for a neat finish.,Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-combo-bm2-vnp106-117-ml/p/itmemdbuhvjdm46d?pid=NLPEMDBUHEH9X4ZH&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/4/z/h/susha-forsure-117-premium-glam-shine-waterproof-nail-polish-200x200-imaehq38j6mfbq5x.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,927.0,1031.0,true,NLPEMDBUHEH9X4ZH,NLPEMDBUHEH9X4ZH
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Combo-BM1|VNP127 117 ml(Multicolor),Susha Forsure Brings you perfect combo of bright sparks nail polish collection.Susha Forsure color show bright sparks collection presents eye-catching nail shades inspired by colors trending now Shades have been chosen by India’s most loved beauty bloggers.Has a flat-brush for smooth application.Give Your Nails A Fabulous Look By Applying These Nailpaints From Susha forsure. Stop worrying about your color chipping as this amazing nail color is chip-resistant. You need not worry about the color smudging as this nail color dries quickly within few seconds of its application.Bid Goodbye To Expensive Salon Manicures And Pedicures And Pamper Yourself At Home And Give Your Nails A Complete Look By Painting Them With These Beautiful Shades. You will look Great with This Susha Forsure Products.Directions for UseStart applying this nail color with the brush from the base and gently sweep towards the tip of your nail.Let it dry for few seconds.Then apply second coat for a neat finish.,Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-combo-bm1-vnp127-117-ml/p/itmemdbu2yvvamx6?pid=NLPEMDBUKCBHV4F3&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/4/f/3/susha-forsure-117-premium-glam-shine-waterproof-nail-polish-200x200-imaehq37mygu7zqn.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,927.0,1031.0,true,NLPEMDBUKCBHV4F3,NLPEMDBUKCBHV4F3
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Combo-BM1|VNP155 117 ml(Multicolor),Susha Forsure Brings you perfect combo of bright sparks nail polish collection.Susha Forsure color show bright sparks collection presents eye-catching nail shades inspired by colors trending now Shades have been chosen by India’s most loved beauty bloggers.Has a flat-brush for smooth application.Give Your Nails A Fabulous Look By Applying These Nailpaints From Susha forsure. Stop worrying about your color chipping as this amazing nail color is chip-resistant. You need not worry about the color smudging as this nail color dries quickly within few seconds of its application.Bid Goodbye To Expensive Salon Manicures And Pedicures And Pamper Yourself At Home And Give Your Nails A Complete Look By Painting Them With These Beautiful Shades. You will look Great with This Susha Forsure Products.Directions for UseStart applying this nail color with the brush from the base and gently sweep towards the tip of your nail.Let it dry for few seconds.Then apply second coat for a neat finish.,Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-combo-bm1-vnp155-117-ml/p/itmemdajnnqmukxd?pid=NLPEMDAJBZYH48BY&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/8/b/y/susha-forsure-117-premium-glam-shine-waterproof-nail-polish-200x200-imaehq37xuggckex.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,927.0,1031.0,true,NLPEMDAJBZYH48BY,NLPEMDAJBZYH48BY
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Combo-BDS|VNP117 117 ml(Multicolor),Susha Forsure Brings you perfect combo of bright sparks nail polish collection.Susha Forsure color show bright sparks collection presents eye-catching nail shades inspired by colors trending now Shades have been chosen by India’s most loved beauty bloggers.Has a flat-brush for smooth application.Give Your Nails A Fabulous Look By Applying These Nailpaints From Susha forsure. Stop worrying about your color chipping as this amazing nail color is chip-resistant. You need not worry about the color smudging as this nail color dries quickly within few seconds of its application.Bid Goodbye To Expensive Salon Manicures And Pedicures And Pamper Yourself At Home And Give Your Nails A Complete Look By Painting Them With These Beautiful Shades. You will look Great with This Susha Forsure Products.Directions for UseStart applying this nail color with the brush from the base and gently sweep towards the tip of your nail.Let it dry for few seconds.Then apply second coat for a neat finish.,Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-combo-bds-vnp117-117-ml/p/itmemdaj7cnsuxbz?pid=NLPEMDAJD4WH4RFW&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/r/f/w/susha-forsure-117-premium-glam-shine-waterproof-nail-polish-200x200-imaehq38auyfymvq.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,927.0,1031.0,true,NLPEMDAJD4WH4RFW,NLPEMDAJD4WH4RFW
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Combo-BM1|SM1 216 ml(Multicolor),Susha Forsure Brings you perfect combo of bright sparks nail polish collection.Susha Forsure color show bright sparks collection presents eye-catching nail shades inspired by colors trending now Shades have been chosen by India’s most loved beauty bloggers.Has a flat-brush for smooth application.Give Your Nails A Fabulous Look By Applying These Nailpaints From Susha forsure. Stop worrying about your color chipping as this amazing nail color is chip-resistant. You need not worry about the color smudging as this nail color dries quickly within few seconds of its application.Bid Goodbye To Expensive Salon Manicures And Pedicures And Pamper Yourself At Home And Give Your Nails A Complete Look By Painting Them With These Beautiful Shades. You will look Great with This Susha Forsure Products.Directions for UseStart applying this nail color with the brush from the base and gently sweep towards the tip of your nail.Let it dry for few seconds.Then apply second coat for a neat finish.,Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-combo-bm1-sm1-216-ml/p/itmemdbueh7cs24t?pid=NLPEMDBUPUTRZNHG&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/n/h/g/susha-forsure-216-premium-glam-shine-waterproof-nail-polish-200x200-imaehq37fp2erxed.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,2998.0,1510.0,1678.0,true,NLPEMDBUPUTRZNHG,NLPEMDBUPUTRZNHG
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Combo-BDS|VNP126 117 ml(Multicolor),Susha Forsure Brings you perfect combo of bright sparks nail polish collection.Susha Forsure color show bright sparks collection presents eye-catching nail shades inspired by colors trending now Shades have been chosen by India’s most loved beauty bloggers.Has a flat-brush for smooth application.Give Your Nails A Fabulous Look By Applying These Nailpaints From Susha forsure. Stop worrying about your color chipping as this amazing nail color is chip-resistant. You need not worry about the color smudging as this nail color dries quickly within few seconds of its application.Bid Goodbye To Expensive Salon Manicures And Pedicures And Pamper Yourself At Home And Give Your Nails A Complete Look By Painting Them With These Beautiful Shades. You will look Great with This Susha Forsure Products.Directions for UseStart applying this nail color with the brush from the base and gently sweep towards the tip of your nail.Let it dry for few seconds.Then apply second coat for a neat finish.,Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-combo-bds-vnp126-117-ml/p/itmemdajzmfabgrz?pid=NLPEMDAJG7YZY3KG&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/3/k/g/susha-forsure-117-premium-glam-shine-waterproof-nail-polish-200x200-imaehq37jmayybdh.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,927.0,1031.0,true,NLPEMDAJG7YZY3KG,NLPEMDAJG7YZY3KG
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Combo-BM1|VNP130 117 ml(Multicolor),Susha Forsure Brings you perfect combo of bright sparks nail polish collection.Susha Forsure color show bright sparks collection presents eye-catching nail shades inspired by colors trending now Shades have been chosen by India’s most loved beauty bloggers.Has a flat-brush for smooth application.Give Your Nails A Fabulous Look By Applying These Nailpaints From Susha forsure. Stop worrying about your color chipping as this amazing nail color is chip-resistant. You need not worry about the color smudging as this nail color dries quickly within few seconds of its application.Bid Goodbye To Expensive Salon Manicures And Pedicures And Pamper Yourself At Home And Give Your Nails A Complete Look By Painting Them With These Beautiful Shades. You will look Great with This Susha Forsure Products.Directions for UseStart applying this nail color with the brush from the base and gently sweep towards the tip of your nail.Let it dry for few seconds.Then apply second coat for a neat finish.,Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-combo-bm1-vnp130-117-ml/p/itmemdbyvafgywwg?pid=NLPEMDBXAPXKBKUY&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/k/u/y/susha-forsure-117-premium-glam-shine-waterproof-nail-polish-200x200-imaehq37rhszdmha.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,927.0,1031.0,true,NLPEMDBXAPXKBKUY,NLPEMDBXAPXKBKUY
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Combo-BM2|VNP143 117 ml(Multicolor),Susha Forsure Brings you perfect combo of bright sparks nail polish collection.Susha Forsure color show bright sparks collection presents eye-catching nail shades inspired by colors trending now Shades have been chosen by India’s most loved beauty bloggers.Has a flat-brush for smooth application.Give Your Nails A Fabulous Look By Applying These Nailpaints From Susha forsure. Stop worrying about your color chipping as this amazing nail color is chip-resistant. You need not worry about the color smudging as this nail color dries quickly within few seconds of its application.Bid Goodbye To Expensive Salon Manicures And Pedicures And Pamper Yourself At Home And Give Your Nails A Complete Look By Painting Them With These Beautiful Shades. You will look Great with This Susha Forsure Products.Directions for UseStart applying this nail color with the brush from the base and gently sweep towards the tip of your nail.Let it dry for few seconds.Then apply second coat for a neat finish.,Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-combo-bm2-vnp143-117-ml/p/itmemdbv4ygeazq4?pid=NLPEMDBVPHHHDPFS&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/p/f/s/susha-forsure-117-premium-glam-shine-waterproof-nail-polish-200x200-imaehq37mntsnugg.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,927.0,1031.0,true,NLPEMDBVPHHHDPFS,NLPEMDBVPHHHDPFS
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Combo-BM2|VNP139 117 ml(Multicolor),Susha Forsure Brings you perfect combo of bright sparks nail polish collection.Susha Forsure color show bright sparks collection presents eye-catching nail shades inspired by colors trending now Shades have been chosen by India’s most loved beauty bloggers.Has a flat-brush for smooth application.Give Your Nails A Fabulous Look By Applying These Nailpaints From Susha forsure. Stop worrying about your color chipping as this amazing nail color is chip-resistant. You need not worry about the color smudging as this nail color dries quickly within few seconds of its application.Bid Goodbye To Expensive Salon Manicures And Pedicures And Pamper Yourself At Home And Give Your Nails A Complete Look By Painting Them With These Beautiful Shades. You will look Great with This Susha Forsure Products.Directions for UseStart applying this nail color with the brush from the base and gently sweep towards the tip of your nail.Let it dry for few seconds.Then apply second coat for a neat finish.,Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-combo-bm2-vnp139-117-ml/p/itmemdaj3c5cyzhr?pid=NLPEMDAJA8WBZE8F&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/e/8/f/susha-forsure-117-premium-glam-shine-waterproof-nail-polish-200x200-imaehq37nyhnauqy.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,927.0,1031.0,true,NLPEMDAJA8WBZE8F,NLPEMDAJA8WBZE8F
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Combo-BM2|VNP159 117 ml(Multicolor),Susha Forsure Brings you perfect combo of bright sparks nail polish collection.Susha Forsure color show bright sparks collection presents eye-catching nail shades inspired by colors trending now Shades have been chosen by India’s most loved beauty bloggers.Has a flat-brush for smooth application.Give Your Nails A Fabulous Look By Applying These Nailpaints From Susha forsure. Stop worrying about your color chipping as this amazing nail color is chip-resistant. You need not worry about the color smudging as this nail color dries quickly within few seconds of its application.Bid Goodbye To Expensive Salon Manicures And Pedicures And Pamper Yourself At Home And Give Your Nails A Complete Look By Painting Them With These Beautiful Shades. You will look Great with This Susha Forsure Products.Directions for UseStart applying this nail color with the brush from the base and gently sweep towards the tip of your nail.Let it dry for few seconds.Then apply second coat for a neat finish.,Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-combo-bm2-vnp159-117-ml/p/itmemd9ght3qrymt?pid=NLPEMD9FUGRDZPWC&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/p/w/c/susha-forsure-117-premium-glam-shine-waterproof-nail-polish-200x200-imaehq37p3u8ey7w.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,927.0,1031.0,true,NLPEMD9FUGRDZPWC,NLPEMD9FUGRDZPWC
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Combo-BDS|VNP123 117 ml(Multicolor),Susha Forsure Brings you perfect combo of bright sparks nail polish collection.Susha Forsure color show bright sparks collection presents eye-catching nail shades inspired by colors trending now Shades have been chosen by India’s most loved beauty bloggers.Has a flat-brush for smooth application.Give Your Nails A Fabulous Look By Applying These Nailpaints From Susha forsure. Stop worrying about your color chipping as this amazing nail color is chip-resistant. You need not worry about the color smudging as this nail color dries quickly within few seconds of its application.Bid Goodbye To Expensive Salon Manicures And Pedicures And Pamper Yourself At Home And Give Your Nails A Complete Look By Painting Them With These Beautiful Shades. You will look Great with This Susha Forsure Products.Directions for UseStart applying this nail color with the brush from the base and gently sweep towards the tip of your nail.Let it dry for few seconds.Then apply second coat for a neat finish.,Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-combo-bds-vnp123-117-ml/p/itmemdbxfbhtsfek?pid=NLPEMDBX8F2VDJRV&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/j/r/v/susha-forsure-117-premium-glam-shine-waterproof-nail-polish-200x200-imaehq39y2zb5546.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,927.0,1031.0,true,NLPEMDBX8F2VDJRV,NLPEMDBX8F2VDJRV
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Combo-BM2|VNP141 117 ml(Multicolor),Susha Forsure Brings you perfect combo of bright sparks nail polish collection.Susha Forsure color show bright sparks collection presents eye-catching nail shades inspired by colors trending now Shades have been chosen by India’s most loved beauty bloggers.Has a flat-brush for smooth application.Give Your Nails A Fabulous Look By Applying These Nailpaints From Susha forsure. Stop worrying about your color chipping as this amazing nail color is chip-resistant. You need not worry about the color smudging as this nail color dries quickly within few seconds of its application.Bid Goodbye To Expensive Salon Manicures And Pedicures And Pamper Yourself At Home And Give Your Nails A Complete Look By Painting Them With These Beautiful Shades. You will look Great with This Susha Forsure Products.Directions for UseStart applying this nail color with the brush from the base and gently sweep towards the tip of your nail.Let it dry for few seconds.Then apply second coat for a neat finish.,Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-combo-bm2-vnp141-117-ml/p/itmemdajg6ms2hd2?pid=NLPEMDAJEMZAEVJB&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/v/j/b/susha-forsure-117-premium-glam-shine-waterproof-nail-polish-200x200-imaehq38cqhcztdm.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,1998.0,927.0,1031.0,true,NLPEMDAJEMZAEVJB,NLPEMDAJEMZAEVJB
Flipkart,,Susha Forsure Premium Glam Shine Waterproof Nail Polish Combo-BDS|VNP137TO148 216 ml(Multicolor),Susha Forsure Brings you perfect combo of bright sparks nail polish collection.Susha Forsure color show bright sparks collection presents eye-catching nail shades inspired by colors trending now Shades have been chosen by India’s most loved beauty bloggers.Has a flat-brush for smooth application.Give Your Nails A Fabulous Look By Applying These Nailpaints From Susha forsure. Stop worrying about your color chipping as this amazing nail color is chip-resistant. You need not worry about the color smudging as this nail color dries quickly within few seconds of its application.Bid Goodbye To Expensive Salon Manicures And Pedicures And Pamper Yourself At Home And Give Your Nails A Complete Look By Painting Them With These Beautiful Shades. You will look Great with This Susha Forsure Products.Directions for UseStart applying this nail color with the brush from the base and gently sweep towards the tip of your nail.Let it dry for few seconds.Then apply second coat for a neat finish.,Susha Forsure,http://dl.flipkart.com/dl/susha-forsure-premium-glam-shine-waterproof-nail-polish-combo-bds-vnp137to148-216-ml/p/itmemd9gwfkvh8gf?pid=NLPEMD9GFGFWH7GT&affid=siddarthk,http://img.fkcdn.com/image/nail-polish/7/g/t/susha-forsure-216-premium-glam-shine-waterproof-nail-polish-200x200-imaehq39anp6scfv.jpeg,Health and Beauty>Makeup>Nails>Nail Polishes,2598.0,1354.0,1505.0,true,NLPEMD9GFGFWH7GT,NLPEMD9GFGFWH7GT
