PartnerName,Id,Title,Description,Brand,Link,ImageLink,CategoryName,Mrp,OfferPrice,EffectivePrice,Availability,PartnerIdFromUrl,PartnerIdFromDb
Snapdeal,,Golden Tips Earl Grey Green Tea Loose Leaf 100 Gm,"Golden Tips Type (Actual):Earl Grey Flavour (Actual):Earl Grey Product Form:Loose Leaf Food Preference:Vegetarian Speciality/Feature:Antioxidant Rich Country of Origin:India ",Golden Tips,http://www.snapdeal.com/product/golden-tips-earl-grey-green/667991096884?utm_source=aff_prog&utm_campaign=afts&offer_id=17&aff_id=77922,http://n1.sdlcdn.com/imgs/c/u/r/Golden-Tips-Earl-Grey-Green-SDL108772159-1-0c8d3.jpg,"Tea, Coffee & Beverages",310,310,310,in stock,667991096884,667991096884
Snapdeal,,Jrc Amla Pickle Powder 1 Gm,"JRC Flavour/Variant (Actual):Amla Pickle Food Preference:Vegetarian Country of Origin:India ",JRC,http://www.snapdeal.com/product/jrc-amla-pickle-powder-1/677697206635?utm_source=aff_prog&utm_campaign=afts&offer_id=17&aff_id=77922,http://n1.sdlcdn.com/imgs/c/r/n/JRC-Amla-Pickle-Powder-1-SDL552201294-1-c2099.jpg,"Staples, Oils & Spices",502,492,492,in stock,677697206635,677697206635
Snapdeal,,Golden Tips Green Tea Loose Leaf 100 Gm,"Golden Tips Product Form:Loose Leaf Food Preference:Vegetarian Speciality/Feature:Antioxidant Rich Country of Origin:India ",Golden Tips,http://www.snapdeal.com/product/golden-tips-green-tea-loose/623178925498?utm_source=aff_prog&utm_campaign=afts&offer_id=17&aff_id=77922,http://n1.sdlcdn.com/imgs/c/u/m/Golden-Tips-Green-Tea-Loose-SDL725802491-1-41913.jpg,"Tea, Coffee & Beverages",310,310,310,in stock,623178925498,623178925498
Snapdeal,,Jrc Ajwain Bareek Powder 1 Gm,"JRC Flavour/Variant (Actual):Ajwain Bareek Food Preference:Vegetarian Country of Origin:India ",JRC,http://www.snapdeal.com/product/jrc-ajwain-bareek-powder-1/619763556221?utm_source=aff_prog&utm_campaign=afts&offer_id=17&aff_id=77922,http://n1.sdlcdn.com/imgs/c/r/n/JRC-Ajwain-Bareek-Powder-1-SDL983660940-1-9df65.jpg,"Staples, Oils & Spices",284,280,280,in stock,619763556221,619763556221
Snapdeal,,Jrc Biryani Masala Powder 1 Gm,"JRC Flavour/Variant (Actual):Biryani Masala Food Preference:Non Vegetarian Country of Origin:India ",JRC,http://www.snapdeal.com/product/jrc-biryani-masala-powder-1/618720079623?utm_source=aff_prog&utm_campaign=afts&offer_id=17&aff_id=77922,http://n1.sdlcdn.com/imgs/c/r/n/JRC-Biryani-Masala-Powder-1-SDL494054025-1-e2562.jpg,"Staples, Oils & Spices",405,401,401,in stock,618720079623,618720079623
Snapdeal,,Golden Tips Black Tea Loose Leaf 100 Gm,"Golden Tips Product Form:Loose Leaf Food Preference:Vegetarian Country of Origin:India ",Golden Tips,http://www.snapdeal.com/product/golden-tips-black-tea-loose/681618180856?utm_source=aff_prog&utm_campaign=afts&offer_id=17&aff_id=77922,http://n1.sdlcdn.com/imgs/c/u/l/Golden-Tips-Black-Tea-Loose-SDL702293305-1-0158e.jpg,"Tea, Coffee & Beverages",345,345,345,in stock,681618180856,681618180856
Snapdeal,,Jrc Teenth Pickle Powder 1 Gm,"JRC Flavour/Variant (Actual):Teenth Pickle Food Preference:Vegetarian Country of Origin:India ",JRC,http://www.snapdeal.com/product/jrc-teenth-pickle-powder-1/619332228301?utm_source=aff_prog&utm_campaign=afts&offer_id=17&aff_id=77922,http://n1.sdlcdn.com/imgs/c/r/n/JRC-Teenth-Pickle-Powder-1-SDL395412328-1-a57b4.jpg,"Staples, Oils & Spices",526,516,516,in stock,619332228301,619332228301
Snapdeal,,Guilt Free Snacking Snacky Nuts 150 Gm,"Guilt Free Snacking Type:Snacky Nuts Cuisine:International Homemade:No Food Preference:Vegetarian Country of Origin:India ",Guilt Free Snacking,http://www.snapdeal.com/product/guilt-free-snacking-snacky-nuts/658335301765?utm_source=aff_prog&utm_campaign=afts&offer_id=17&aff_id=77922,http://n1.sdlcdn.com/imgs/c/u/k/Guilt-Free-Snacking-Snacky-Nuts-SDL534964932-1-591e2.jpg,Biscuits & Snacks,193,193,193,in stock,658335301765,658335301765
Snapdeal,,Lazybite Gifts Assorted Chocolates Chocolate 100 Gm,"Lazybite Type:Assorted Chocolates Flavour/Variant (Actual):Chocolate Homemade:No Food Preference:Vegetarian Speciality/Feature:Egg Free Country of Origin:India ",Lazybite,http://www.snapdeal.com/product/lazybite-gifts-assorted-chocolates-chocolate/634784409645?utm_source=aff_prog&utm_campaign=afts&offer_id=17&aff_id=77922,http://n1.sdlcdn.com/imgs/c/v/n/Lazybite-Gifts-Assorted-Chocolates-Chocolate-SDL651623255-1-288ec.jpg,"Chocolates, Mints & Candies",375,375,375,in stock,634784409645,634784409645
Snapdeal,,Guilt Free Snacking Namkeen 150 Gm,"Guilt Free Snacking Type:Namkeen Cuisine:International Homemade:No Food Preference:Vegetarian Country of Origin:India ",Guilt Free Snacking,http://www.snapdeal.com/product/guilt-free-snacking-namkeen-150/638886458408?utm_source=aff_prog&utm_campaign=afts&offer_id=17&aff_id=77922,http://n1.sdlcdn.com/imgs/c/u/t/Guilt-Free-Snacking-Namkeen-150-SDL894435789-1-3ff2a.jpg,Biscuits & Snacks,188,188,188,in stock,638886458408,638886458408
